running CH on OSM 1
Preprocessing complete. 381 shortcuts added.
Upward Edge from 56 to 34 (ID: 1110, Cost: 2)
Upward Edge from 57 to 45 (ID: 113, Cost: 1)
Upward Edge from 58 to 59 (ID: 136, Cost: 1)
Upward Edge from 58 to 45 (ID: 115, Cost: 1)
Upward Edge from 59 to 23 (ID: 1692, Cost: 4)
Upward Edge from 60 to 69 (ID: 138, Cost: 1)
Upward Edge from 60 to 48 (ID: 119, Cost: 1)
Upward Edge from 61 to 122 (ID: 1836, Cost: 4)
Upward Edge from 61 to 140 (ID: 1835, Cost: 5)
Upward Edge from 61 to 128 (ID: 1825, Cost: 4)
Upward Edge from 61 to 104 (ID: 1827, Cost: 3)
Upward Edge from 62 to 73 (ID: 146, Cost: 1)
Upward Edge from 62 to 49 (ID: 123, Cost: 1)
Upward Edge from 63 to 64 (ID: 1125, Cost: 2)
Upward Edge from 63 to 39 (ID: 1112, Cost: 2)
Upward Edge from 64 to 49 (ID: 1752, Cost: 5)
Upward Edge from 64 to 17 (ID: 1688, Cost: 7)
Upward Edge from 65 to 77 (ID: 156, Cost: 1)
Upward Edge from 65 to 53 (ID: 129, Cost: 1)
Upward Edge from 66 to 79 (ID: 160, Cost: 1)
Upward Edge from 66 to 55 (ID: 131, Cost: 1)
Upward Edge from 67 to 55 (ID: 133, Cost: 1)
Upward Edge from 68 to 80 (ID: 162, Cost: 1)
Upward Edge from 68 to 56 (ID: 135, Cost: 1)
Upward Edge from 69 to 137 (ID: 1461, Cost: 4)
Upward Edge from 69 to 30 (ID: 1442, Cost: 4)
Upward Edge from 70 to 104 (ID: 1133, Cost: 2)
Upward Edge from 70 to 82 (ID: 166, Cost: 1)
Upward Edge from 70 to 61 (ID: 141, Cost: 1)
Upward Edge from 71 to 128 (ID: 1754, Cost: 3)
Upward Edge from 71 to 104 (ID: 1607, Cost: 2)
Upward Edge from 71 to 61 (ID: 143, Cost: 1)
Upward Edge from 72 to 61 (ID: 145, Cost: 1)
Upward Edge from 73 to 109 (ID: 1137, Cost: 2)
Upward Edge from 73 to 49 (ID: 1118, Cost: 2)
Upward Edge from 74 to 64 (ID: 153, Cost: 1)
Upward Edge from 74 to 63 (ID: 149, Cost: 1)
Upward Edge from 75 to 91 (ID: 184, Cost: 1)
Upward Edge from 75 to 63 (ID: 151, Cost: 1)
Upward Edge from 76 to 92 (ID: 186, Cost: 1)
Upward Edge from 76 to 64 (ID: 155, Cost: 1)
Upward Edge from 77 to 34 (ID: 1444, Cost: 4)
Upward Edge from 77 to 113 (ID: 1139, Cost: 2)
Upward Edge from 78 to 66 (ID: 159, Cost: 1)
Upward Edge from 79 to 206 (ID: 1614, Cost: 6)
Upward Edge from 79 to 34 (ID: 1601, Cost: 4)
Upward Edge from 80 to 34 (ID: 1446, Cost: 4)
Upward Edge from 81 to 98 (ID: 198, Cost: 1)
Upward Edge from 81 to 69 (ID: 165, Cost: 1)
Upward Edge from 82 to 61 (ID: 1820, Cost: 2)
Upward Edge from 82 to 104 (ID: 1817, Cost: 3)
Upward Edge from 82 to 140 (ID: 1815, Cost: 3)
Upward Edge from 82 to 122 (ID: 1609, Cost: 2)
Upward Edge from 83 to 124 (ID: 1143, Cost: 2)
Upward Edge from 83 to 70 (ID: 169, Cost: 1)
Upward Edge from 84 to 104 (ID: 210, Cost: 1)
Upward Edge from 84 to 70 (ID: 171, Cost: 1)
Upward Edge from 85 to 104 (ID: 212, Cost: 1)
Upward Edge from 85 to 71 (ID: 173, Cost: 1)
Upward Edge from 86 to 106 (ID: 216, Cost: 1)
Upward Edge from 86 to 71 (ID: 175, Cost: 1)
Upward Edge from 87 to 107 (ID: 218, Cost: 1)
Upward Edge from 87 to 71 (ID: 177, Cost: 1)
Upward Edge from 88 to 72 (ID: 179, Cost: 1)
Upward Edge from 89 to 72 (ID: 181, Cost: 1)
Upward Edge from 90 to 109 (ID: 222, Cost: 1)
Upward Edge from 90 to 73 (ID: 183, Cost: 1)
Upward Edge from 91 to 63 (ID: 1126, Cost: 2)
Upward Edge from 92 to 64 (ID: 1128, Cost: 2)
Upward Edge from 92 to 112 (ID: 228, Cost: 1)
Upward Edge from 93 to 113 (ID: 230, Cost: 1)
Upward Edge from 93 to 77 (ID: 189, Cost: 1)
Upward Edge from 94 to 77 (ID: 191, Cost: 1)
Upward Edge from 95 to 136 (ID: 1151, Cost: 2)
Upward Edge from 95 to 79 (ID: 193, Cost: 1)
Upward Edge from 96 to 79 (ID: 195, Cost: 1)
Upward Edge from 97 to 116 (ID: 236, Cost: 1)
Upward Edge from 97 to 80 (ID: 197, Cost: 1)
Upward Edge from 98 to 137 (ID: 1153, Cost: 2)
Upward Edge from 98 to 69 (ID: 1130, Cost: 2)
Upward Edge from 99 to 140 (ID: 1463, Cost: 2)
Upward Edge from 99 to 82 (ID: 201, Cost: 1)
Upward Edge from 100 to 82 (ID: 203, Cost: 1)
Upward Edge from 101 to 122 (ID: 248, Cost: 1)
Upward Edge from 101 to 82 (ID: 205, Cost: 1)
Upward Edge from 102 to 124 (ID: 252, Cost: 1)
Upward Edge from 102 to 83 (ID: 207, Cost: 1)
Upward Edge from 103 to 83 (ID: 209, Cost: 1)
Upward Edge from 104 to 122 (ID: 1470, Cost: 3)
Upward Edge from 105 to 127 (ID: 258, Cost: 1)
Upward Edge from 105 to 85 (ID: 215, Cost: 1)
Upward Edge from 106 to 71 (ID: 1134, Cost: 2)
Upward Edge from 107 to 71 (ID: 1454, Cost: 2)
Upward Edge from 107 to 128 (ID: 260, Cost: 1)
Upward Edge from 108 to 87 (ID: 221, Cost: 1)
Upward Edge from 109 to 49 (ID: 1450, Cost: 4)
Upward Edge from 109 to 129 (ID: 264, Cost: 1)
Upward Edge from 110 to 130 (ID: 266, Cost: 1)
Upward Edge from 110 to 91 (ID: 225, Cost: 1)
Upward Edge from 111 to 131 (ID: 268, Cost: 1)
Upward Edge from 111 to 91 (ID: 227, Cost: 1)
Upward Edge from 112 to 64 (ID: 1457, Cost: 3)
Upward Edge from 112 to 132 (ID: 270, Cost: 1)
Upward Edge from 113 to 202 (ID: 1620, Cost: 4)
Upward Edge from 113 to 34 (ID: 1605, Cost: 6)
Upward Edge from 113 to 179 (ID: 1474, Cost: 3)
Upward Edge from 114 to 136 (ID: 278, Cost: 1)
Upward Edge from 114 to 95 (ID: 233, Cost: 1)
Upward Edge from 115 to 95 (ID: 235, Cost: 1)
Upward Edge from 116 to 80 (ID: 1140, Cost: 2)
Upward Edge from 117 to 137 (ID: 280, Cost: 1)
Upward Edge from 117 to 98 (ID: 239, Cost: 1)
Upward Edge from 118 to 138 (ID: 282, Cost: 1)
Upward Edge from 118 to 99 (ID: 241, Cost: 1)
Upward Edge from 119 to 140 (ID: 286, Cost: 1)
