src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
66249,80293,363,93372,667,3,171,667,true,
3857,10050,6,1755,71,3,46,71,true,
26951,22956,182,46629,361,3,152,361,true,
86171,21427,291,75370,569,3,140,569,true,
68650,32958,250,66528,534,3,156,534,true,
59905,21462,200,47737,333,3,127,333,true,
47915,83983,369,93844,566,4,147,566,true,
25727,84037,159,41531,325,3,88,325,true,
24661,55428,181,49123,400,3,133,400,true,
4726,86076,258,65397,353,3,122,353,true,
44588,15576,95,25497,270,19,111,270,true,
42740,95689,277,71205,463,4,140,463,true,
44427,88613,344,89759,616,3,157,616,true,
95276,25475,65,18537,307,3,112,307,true,
47156,18910,25,6887,127,3,81,127,true,
65548,38760,271,71588,578,3,149,578,true,
48031,66697,111,29902,333,14,84,333,true,
15079,85832,223,56059,330,3,127,330,true,
44467,85043,137,36918,411,3,128,411,true,
61325,22601,167,45310,393,4,151,393,true,
95895,86223,176,47379,504,4,161,504,true,
33265,46086,237,61686,440,3,123,440,true,
26349,76967,236,60040,364,15,100,364,true,
65894,11349,195,51142,360,3,144,360,true,
97744,2657,99,28084,413,3,131,413,true,
22323,52701,169,43220,304,3,123,304,true,
2361,52176,159,40451,290,3,140,290,true,
88490,13667,223,58508,453,3,149,453,true,
74010,87004,279,73479,603,22,170,603,true,
23753,94025,398,93920,501,3,133,501,true,
30489,80331,151,38660,245,3,102,245,true,
78735,57177,39,9596,179,3,85,179,true,
82255,76364,7,1758,51,3,43,51,true,
14875,97438,292,71552,408,3,131,408,true,
53208,4568,146,36261,259,3,116,259,true,
30485,98405,392,99500,624,3,147,624,true,
1098,93780,333,79099,363,3,154,363,true,
24861,71365,394,90690,488,3,129,488,true,
93208,99191,341,84388,635,3,154,635,true,
34010,78422,298,76197,530,4,159,530,true,
5708,38025,177,43133,267,3,131,267,true,
18537,20539,298,72291,398,3,83,398,true,
23713,67491,272,65804,423,24,121,423,true,
82305,50702,15,4079,147,3,53,147,true,
40539,98033,394,99513,645,4,205,645,true,
29854,20874,173,45149,384,3,109,384,true,
93045,53655,97,22980,316,3,75,316,true,
84254,74145,212,54629,457,3,134,457,true,
8306,47067,193,48526,308,10,127,308,true,
65391,68349,141,34805,276,3,106,276,true,
48111,1193,143,38068,366,4,171,366,true,
21248,96905,409,99310,587,4,133,587,true,
90192,19186,273,67488,527,3,138,527,true,
80084,33668,280,69500,560,3,163,560,true,
31680,27075,208,52660,409,6,146,409,true,
28451,63597,404,88020,524,3,135,524,true,
50806,41454,35,9019,163,3,94,163,true,
67358,77848,81,21511,254,3,114,254,true,
47731,74626,17,4523,78,3,41,78,true,
99402,93927,387,97490,672,3,140,672,true,
9152,8244,67,18043,224,6,101,224,true,
56603,91084,375,96581,665,3,138,665,true,
53123,15460,275,69420,469,3,164,469,true,
71711,73980,355,94190,668,3,142,668,true,
92136,74267,238,62349,564,3,153,564,true,
98990,46727,279,73586,667,3,143,667,true,
53706,82383,364,94846,650,3,161,650,true,
14603,74157,156,40042,304,3,144,304,true,
79207,48535,27,7845,214,3,70,214,true,
19210,14672,119,31174,291,3,148,291,true,
84777,78444,310,78949,559,3,136,559,true,
27352,84036,383,96235,589,6,113,589,true,
5959,91802,382,86654,382,3,114,382,true,
23354,61932,337,82627,463,4,142,463,true,
54787,5789,198,48870,356,3,135,356,true,
66720,46061,64,16545,186,3,89,186,true,
35579,17924,203,52177,325,3,148,325,true,
233,1400,6,1515,64,6,54,64,true,
94878,62428,106,29480,369,3,124,369,true,
36673,68780,278,70398,406,3,110,406,true,
75927,47512,10,2722,100,3,31,100,true,
17466,61742,101,25257,250,3,118,250,true,
56342,33809,200,52904,470,3,112,470,true,
64235,85111,304,77086,528,3,153,528,true,
65181,5290,90,24544,313,3,158,313,true,
45923,19589,18,5564,202,3,70,202,true,
41818,78191,348,89111,619,3,109,619,true,
45089,68296,355,90345,607,4,156,607,true,
84549,18883,198,52984,552,6,134,552,true,
87117,65516,273,71994,640,3,170,640,true,
24061,19717,235,59889,362,3,145,362,true,
14001,45104,266,67560,388,3,136,388,true,
84648,49994,271,71366,541,3,153,541,true,
61032,51011,265,67844,546,4,185,546,true,
55332,41620,310,79566,516,6,160,516,true,
57180,47567,195,51451,402,4,172,402,true,
33809,59548,352,88099,554,3,137,554,true,
28294,11351,101,25947,270,3,126,270,true,
24033,60204,167,42974,370,3,129,370,true,
16469,44726,35,9344,138,3,53,138,true,
