src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
13249,16058,61,17841,365,1,64,365,true,
771,2010,6,1893,59,0,51,59,true,
5390,4591,39,11236,158,0,58,158,true,
17234,4285,33,10037,224,0,66,224,true,
13730,6591,33,9923,209,0,72,209,true,
11981,4292,5,1600,58,0,30,58,true,
9583,16796,61,18265,348,1,110,348,true,
5145,16807,52,15267,205,1,94,205,true,
4932,11085,31,9328,143,1,91,143,true,
945,17215,45,12991,153,1,88,153,true,
8917,3115,20,5949,112,0,41,112,true,
8548,19137,58,17663,298,1,78,298,true,
8885,17722,32,9730,177,1,87,177,true,
19055,5095,28,8899,262,0,67,262,true,
9431,3782,13,4183,127,0,57,127,true,
13109,7752,39,12175,250,1,107,250,true,
9606,13339,33,10192,198,0,71,198,true,
3015,17166,15,4636,114,0,57,114,true,
8893,17008,4,1235,63,0,37,63,true,
12265,4520,1,416,56,0,25,56,true,
19179,17244,56,16910,359,1,117,359,true,
6653,9217,38,11508,200,0,76,200,true,
5269,15393,50,14268,177,1,75,177,true,
13178,2269,50,15402,256,1,100,256,true,
19548,531,27,8396,198,1,94,198,true,
4464,10540,43,13309,263,1,91,263,true,
472,10435,31,9224,136,0,72,136,true,
17698,2733,4,1570,113,0,33,113,true,
14802,17400,5,1727,80,0,47,80,true,
4750,18805,25,7680,147,0,62,147,true,
6097,16066,20,6057,117,1,68,117,true,
15747,11435,46,14289,350,1,76,350,true,
16451,15272,39,12172,280,1,70,280,true,
2975,19487,65,19385,278,1,61,278,true,
10641,913,11,3519,112,0,47,112,true,
6097,19681,54,15968,224,1,81,224,true,
219,18756,64,18316,196,1,81,196,true,
4972,14273,42,12478,194,1,82,194,true,
18641,19838,64,19525,395,1,90,395,true,
6802,15684,51,15357,244,0,73,244,true,
1141,7605,14,4319,89,1,76,89,true,
3707,4107,1,350,33,0,41,33,true,
4742,13498,57,17098,253,1,93,253,true,
16461,10140,31,9735,255,1,104,255,true,
8107,19606,66,19932,354,1,75,354,true,
5970,4174,22,6650,118,0,74,118,true,
18609,10731,56,17563,366,1,97,366,true,
16850,14829,14,4664,195,0,61,195,true,
1661,9413,42,12187,151,0,65,151,true,
13078,13669,21,6476,157,1,76,157,true,
9622,238,24,7417,129,1,74,129,true,
4249,19381,67,19841,289,1,85,289,true,
18038,3837,29,8970,217,0,64,217,true,
16016,6733,35,11088,267,0,72,267,true,
6336,5415,1,334,22,0,31,22,true,
5690,12719,54,15885,230,1,90,230,true,
10161,8290,63,18992,292,1,95,292,true,
13471,15569,50,15440,296,1,113,296,true,
9546,14925,62,18500,286,7,120,286,true,
19880,18785,65,19663,396,0,102,396,true,
1830,1648,1,365,21,0,32,21,true,
11320,18216,50,15067,263,1,67,263,true,
10624,3092,38,11517,194,1,72,194,true,
14342,14796,47,14001,246,1,81,246,true,
18427,14853,0,223,36,0,25,36,true,
19798,9345,40,12311,364,1,78,364,true,
10741,16476,3,1221,73,0,33,73,true,
2920,14831,53,15551,210,0,55,210,true,
15841,9707,27,8035,152,1,104,152,true,
3842,2934,1,237,20,0,31,20,true,
16955,15688,51,15908,334,1,94,334,true,
5470,16807,64,19139,285,1,92,285,true,
1191,18360,65,18751,222,0,44,222,true,
4670,12386,3,1256,64,0,51,64,true,
10957,1157,30,8835,161,1,91,161,true,
13344,9212,8,2623,106,0,49,106,true,
7115,3584,4,1272,59,0,54,59,true,
46,280,0,202,18,0,33,18,true,
18975,12485,47,14532,322,1,97,322,true,
7334,13756,9,3052,85,0,54,85,true,
15185,9502,5,1716,114,0,50,114,true,
3493,12348,38,11661,186,1,79,186,true,
11268,6761,31,9671,216,1,97,216,true,
12847,17022,28,8692,204,0,53,204,true,
13036,1058,29,8852,172,1,76,172,true,
9184,3917,18,5398,98,0,58,98,true,
8363,15638,53,15627,226,1,71,226,true,
9017,13659,47,11343,184,0,67,184,true,
16909,3776,24,7225,193,1,58,193,true,
17423,13103,6,1983,124,0,42,124,true,
4812,3943,34,9850,181,1,93,181,true,
2800,9020,50,14429,183,0,43,183,true,
16929,9998,6,2345,132,0,56,132,true,
12206,10202,63,19103,317,1,85,317,true,
11066,8324,16,4843,103,0,65,103,true,
11436,9513,8,2387,66,0,57,66,true,
6761,11909,55,16257,235,1,111,235,true,
5658,2270,45,13325,204,1,114,204,true,
4806,12040,43,12789,206,1,84,206,true,
3293,8945,33,9607,133,0,68,133,true,
