src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
132499,160587,189,38964,373,8,96,373,true,
7715,20100,80,18665,221,7,129,221,true,
53903,45913,502,112271,495,7,220,495,true,
172343,42855,344,84805,627,7,192,627,true,
137300,65917,397,80739,399,8,162,399,true,
119811,42925,464,97953,466,14,270,466,true,
95831,167966,417,87645,496,8,174,496,true,
51455,168074,525,126626,524,7,196,524,true,
49322,110857,605,114334,455,7,166,455,true,
9452,172153,395,81472,422,27,164,422,true,
89177,31153,71,15030,171,8,96,171,true,
85481,191379,747,145749,658,9,186,658,true,
88854,177227,882,192442,839,7,199,839,true,
190553,50951,460,111525,638,7,193,638,true,
94313,37820,150,38062,260,7,165,260,true,
131096,77520,654,155791,771,7,247,771,true,
96063,133394,130,33285,299,6,88,299,true,
30159,171665,795,192261,687,30,277,687,true,
88935,170087,461,111113,508,6,124,508,true,
122651,45202,99,24502,182,8,94,182,true,
191791,172446,590,144824,840,22,148,840,true,
66531,92173,648,152275,634,7,222,634,true,
52698,153934,624,151281,610,7,243,610,true,
131789,22699,267,68320,521,7,182,521,true,
195488,5314,438,106919,590,7,181,590,true,
44646,105402,102,25846,199,6,123,199,true,
4723,104352,339,82634,381,7,150,381,true,
176980,27334,107,27213,256,6,147,256,true,
148020,174009,439,108846,540,7,226,540,true,
47507,188050,812,198099,763,7,227,763,true,
60978,160662,776,187456,684,7,181,684,true,
157470,114355,189,49361,465,7,133,465,true,
164511,152729,674,168733,867,7,297,867,true,
29750,194876,911,198461,733,8,227,733,true,
106416,9137,163,37040,322,7,139,322,true,
60971,196810,363,78369,404,7,191,404,true,
2197,187560,803,173839,509,7,179,509,true,
49722,142730,173,40361,311,7,98,311,true,
186416,198383,376,86659,578,7,169,578,true,
68020,156845,361,84270,385,6,135,385,true,
11416,76051,600,137522,459,8,231,459,true,
37075,41079,3,276,35,6,30,35,true,
47426,134982,228,53252,325,7,162,325,true,
164611,101404,28,7042,164,7,95,164,true,
81078,196067,860,199301,843,8,178,843,true,
59708,41748,605,136518,563,7,236,563,true,
186090,107310,78,18576,341,7,156,341,true,
168508,148290,390,94487,606,7,198,606,true,
16613,94134,366,83778,320,6,67,320,true,
130782,136699,636,152482,794,8,334,794,true,
96222,2386,355,80115,448,7,202,448,true,
42496,193811,925,198714,699,7,186,699,true,
180385,38373,480,110210,683,8,224,683,true,
160168,67337,210,48555,318,7,171,318,true,
63361,54150,50,11801,154,7,87,154,true,
56903,127195,695,138733,583,10,233,583,true,
101613,82909,889,158490,740,8,215,740,true,
134717,155696,553,117305,650,7,203,650,true,
95462,149253,452,102476,555,7,197,555,true,
198804,187855,963,196661,955,7,179,955,true,
18304,16488,423,97712,404,7,184,404,true,
113206,182168,748,164166,747,11,272,747,true,
106247,30921,76,14188,268,10,117,268,true,
143423,147960,8,45,9,8,13,9,true,
184272,148535,840,184299,889,7,212,889,true,
197980,93454,465,98499,610,10,236,610,true,
107412,164767,840,189200,808,7,201,808,true,
29207,148315,240,59854,417,7,157,417,true,
158414,97070,576,145623,810,7,193,810,true,
38420,29345,117,27821,262,7,130,262,true,
169555,156889,752,182695,898,7,174,898,true,
54705,168072,714,165058,673,9,184,673,true,
11919,183604,387,74888,370,8,154,370,true,
46708,123865,885,177827,703,7,232,703,true,
109574,11579,375,69987,355,8,199,355,true,
133440,92123,746,138865,759,8,258,759,true,
71158,35849,114,22818,229,8,95,229,true,
466,2801,15,3013,78,7,70,78,true,
189757,124857,885,176907,907,9,278,907,true,
73346,137561,133,28531,215,7,131,215,true,
151854,95024,765,155599,769,9,205,769,true,
34932,123484,852,170823,639,7,284,639,true,
112684,67619,112,27889,263,7,138,263,true,
128471,170223,805,188492,892,7,205,892,true,
130362,10581,449,107574,524,7,211,524,true,
91846,39179,18,4664,131,6,72,131,true,
83636,156382,760,187778,809,7,237,809,true,
90179,136593,286,69700,356,7,217,356,true,
169098,37766,196,50707,495,7,170,495,true,
174235,131033,262,60592,458,8,194,458,true,
48122,39434,131,29861,278,7,91,278,true,
28002,90209,95,22212,219,7,73,219,true,
169297,99989,69,17147,324,8,157,324,true,
122064,102023,736,170456,773,7,217,773,true,
110665,83240,623,144268,715,7,269,715,true,
114361,95134,580,139121,749,8,212,749,true,
67619,119096,766,182499,736,7,266,736,true,
56588,22703,297,71167,332,7,162,332,true,
48066,120408,223,44835,327,8,93,327,true,
32939,89452,709,141612,527,8,193,527,true,
