src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
662495,802939,6265,921874,1866,43,382,1866,true,
38575,100501,1297,236616,509,48,218,509,true,
269516,229567,3593,644606,953,41,370,953,true,
861719,214277,1921,348333,1102,45,469,1102,true,
686502,329587,1889,340429,1051,42,377,1051,true,
599057,214627,971,184496,753,49,275,753,true,
479158,839830,4858,924703,1869,42,440,1869,true,
257277,840374,5021,970772,1507,40,424,1507,true,
246610,554286,825,164666,454,44,207,454,true,
47261,860769,4443,840521,1204,40,370,1204,true,
445886,155766,1484,245046,687,41,297,687,true,
427408,956896,5321,968227,1791,48,419,1791,true,
444274,886138,4437,848622,1493,44,448,1493,true,
952767,254756,3154,579738,1741,49,505,1741,true,
471569,189101,1909,378402,1034,44,408,1034,true,
655484,387603,566,126084,697,42,136,697,true,
480316,666973,4239,864534,1759,44,311,1759,true,
150798,858328,3346,673140,1183,43,451,1183,true,
444678,850439,3697,707062,1220,56,389,1220,true,
613256,226012,2764,514090,1302,44,457,1302,true,
958956,862234,3297,651206,1620,42,356,1620,true,
332657,460868,1998,393176,906,43,311,906,true,
263491,769670,1793,336281,703,43,302,703,true,
658947,113498,3046,596501,1341,44,234,1341,true,
977443,26571,2481,486538,1411,43,389,1411,true,
223234,527014,3557,693308,1011,43,368,1011,true,
23619,521761,2960,599141,961,43,309,961,true,
884900,136671,1506,314779,1119,47,449,1119,true,
740102,870045,2281,466291,1322,48,268,1322,true,
237536,940254,5074,977495,1709,45,414,1709,true,
304892,803313,4896,935822,1540,47,470,1540,true,
787350,571776,2851,548834,1286,40,435,1286,true,
822559,763646,1466,297532,1200,43,273,1200,true,
148752,974381,4904,960401,1529,42,482,1529,true,
532082,45686,2749,460388,1001,40,432,1001,true,
304858,984050,5492,999205,1792,45,472,1792,true,
10987,937801,4682,879149,1150,41,421,1150,true,
248613,713653,4688,941678,1409,41,332,1409,true,
932084,991918,2484,493831,1347,42,307,1347,true,
340101,784226,2960,577551,958,43,383,958,true,
57084,380258,2432,490717,938,42,368,938,true,
185379,205398,3268,650314,904,43,393,904,true,
237131,674911,4587,921635,1367,42,396,1367,true,
823057,507024,2318,459126,1183,49,329,1183,true,
405390,980337,3909,724831,1182,42,270,1182,true,
298541,208741,1020,203692,653,41,367,653,true,
930451,536552,3461,702659,1874,43,403,1874,true,
842543,741451,431,93934,618,37,131,618,true,
83065,470671,2830,555485,868,45,498,868,true,
653910,683499,1958,385604,1018,44,267,1018,true,
481110,11932,2201,441641,970,41,403,970,true,
212481,969056,4621,915109,1328,43,332,1328,true,
901929,191868,3560,732192,1616,43,421,1616,true,
800840,336685,2213,449350,1339,44,356,1339,true,
316808,270754,2341,464728,855,44,357,855,true,
284517,635978,1062,208107,581,42,220,581,true,
508066,414545,4164,832184,1408,46,584,1408,true,
673588,778482,4119,836839,1850,43,427,1850,true,
477310,746269,1417,294133,902,42,219,902,true,
994024,939276,4647,957724,2250,38,368,2250,true,
91520,82440,1517,302276,682,41,333,682,true,
566034,910842,255,58039,540,41,76,540,true,
531236,154607,2286,449636,1176,48,368,1176,true,
717115,739800,4597,889758,1963,43,431,1963,true,
921364,742677,4881,955999,2166,43,411,2166,true,
989900,467273,333,71537,633,39,240,633,true,
537061,823836,4803,970832,1931,46,456,1931,true,
146036,741577,3946,762777,1098,46,430,1098,true,
792074,485350,390,84527,627,42,128,627,true,
192104,146729,370,61230,256,40,199,256,true,
847775,784445,965,193308,880,47,249,880,true,
273528,840360,3225,550300,911,50,328,911,true,
59599,918023,5003,951961,1434,45,419,1434,true,
233543,619327,2384,450171,765,45,284,765,true,
547873,57895,1650,323753,1019,46,384,1019,true,
667202,460619,3424,659958,1621,43,462,1621,true,
355790,179249,2220,403422,1085,39,324,1085,true,
2330,14009,158,28317,264,49,161,264,true,
948789,624287,3878,764126,1975,42,377,1975,true,
366734,687807,3822,708777,1104,42,401,1104,true,
759272,475123,189,39074,417,45,108,417,true,
174664,617424,750,137248,587,38,158,587,true,
563423,338097,2679,523823,1184,53,378,1184,true,
642358,851119,285,54008,392,38,144,392,true,
651810,52906,1551,281456,976,41,313,976,true,
459231,195899,86,15190,359,41,90,359,true,
418182,781912,3064,570085,1033,46,373,1033,true,
450897,682965,4359,828103,1426,42,422,1426,true,
845491,188833,3423,669062,1572,43,369,1572,true,
871178,655165,1131,235851,941,39,234,941,true,
240610,197171,3419,650084,973,44,582,973,true,
140010,451045,2212,426221,748,39,457,748,true,
846486,499948,2186,438584,1257,39,389,1257,true,
610322,510115,3442,681299,1597,44,471,1597,true,
553327,416204,95,19045,283,41,121,283,true,
571806,475673,4156,796503,1474,39,340,1474,true,
338098,595483,4291,831185,1401,41,449,1401,true,
282943,113518,3321,658257,989,45,415,989,true,
240334,602043,2291,443373,775,41,238,775,true,
164699,447260,3175,645946,1185,42,356,1185,true,
