src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
331,401,1,482,57,0,34,57,true,
19,50,0,26,5,0,10,5,true,
134,114,0,129,12,0,23,12,true,
430,107,0,149,48,0,19,48,true,
343,164,1,216,19,0,29,19,true,
299,107,0,92,10,0,24,10,true,
239,419,1,372,23,0,31,23,true,
128,420,0,253,12,0,8,12,true,
123,277,1,285,16,0,20,16,true,
23,430,1,486,40,0,16,40,true,
222,77,0,47,7,0,15,7,true,
213,478,1,425,25,0,33,25,true,
222,443,0,265,14,0,24,14,true,
476,127,0,194,18,0,20,18,true,
235,94,0,122,11,0,18,11,true,
327,193,0,267,20,0,26,20,true,
240,333,0,125,12,0,27,12,true,
75,429,1,438,25,0,31,25,true,
222,425,0,196,12,0,17,12,true,
306,113,0,155,43,0,18,43,true,
479,431,1,487,63,0,31,63,true,
166,230,0,211,16,0,26,16,true,
131,384,1,343,23,0,29,23,true,
329,56,0,102,40,0,17,40,true,
488,13,0,276,27,0,33,27,true,
111,263,1,467,41,0,24,41,true,
11,260,0,290,28,0,28,28,true,
442,68,1,382,31,0,24,31,true,
370,435,1,431,35,0,28,35,true,
118,470,0,310,16,0,22,16,true,
152,401,1,482,49,0,34,49,true,
393,285,1,346,22,0,31,22,true,
411,381,0,117,14,0,23,14,true,
74,487,1,453,27,0,30,27,true,
266,22,0,164,15,0,27,15,true,
152,492,1,498,52,0,29,52,true,
5,468,1,475,35,0,26,35,true,
124,356,0,260,16,0,23,16,true,
466,495,0,12,4,0,9,4,true,
170,392,1,396,19,0,20,19,true,
28,190,0,229,17,0,25,17,true,
92,102,0,75,11,0,23,11,true,
118,337,0,171,11,0,19,11,true,
411,253,0,271,25,0,32,25,true,
202,490,1,496,54,0,25,54,true,
149,104,0,50,6,0,8,6,true,
465,268,0,92,16,0,23,16,true,
421,370,0,42,6,0,12,6,true,
41,235,0,270,20,0,31,20,true,
326,341,0,206,16,0,23,16,true,
240,5,1,407,26,0,30,26,true,
106,484,1,435,21,0,20,21,true,
450,95,0,173,16,0,29,16,true,
400,168,0,311,25,0,30,25,true,
158,135,0,6,3,0,9,3,true,
142,317,0,217,15,0,25,15,true,
254,207,1,464,45,0,34,45,true,
336,389,0,208,16,0,30,16,true,
238,373,1,481,52,0,27,52,true,
497,469,0,163,20,0,28,20,true,
45,41,0,46,10,0,19,10,true,
283,455,1,466,56,0,30,56,true,
265,77,0,327,23,0,32,23,true,
358,369,1,395,28,0,29,28,true,
460,371,0,5,3,0,8,3,true,
494,233,0,270,55,0,25,55,true,
268,411,0,90,9,0,17,9,true,
73,370,1,375,19,0,27,19,true,
396,242,1,373,25,0,27,25,true,
96,73,0,153,17,0,30,17,true,
423,392,0,279,21,0,23,21,true,
136,420,0,285,19,0,22,19,true,
29,459,1,370,23,0,27,23,true,
116,309,1,373,29,0,21,29,true,
273,28,1,375,20,0,21,20,true,
333,230,0,271,23,0,33,23,true,
177,89,0,86,11,0,15,11,true,
1,7,0,9,4,0,12,4,true,
474,312,0,16,9,0,17,9,true,
183,343,0,338,20,0,31,20,true,
379,237,1,465,52,0,30,52,true,
87,308,0,285,14,0,26,14,true,
281,169,0,308,20,0,26,20,true,
321,425,0,98,11,0,19,11,true,
325,26,0,238,18,0,28,18,true,
229,97,0,284,16,0,18,16,true,
209,390,0,203,15,0,31,15,true,
225,341,0,217,16,0,29,16,true,
422,94,0,189,16,0,24,16,true,
435,327,1,424,33,0,28,33,true,
120,98,1,459,35,0,23,35,true,
70,225,0,148,9,0,16,9,true,
423,249,0,181,16,0,19,16,true,
305,255,0,291,49,0,33,49,true,
276,208,0,284,18,0,25,18,true,
285,237,1,465,48,0,26,48,true,
169,297,0,289,17,0,31,17,true,
141,56,1,322,18,0,18,18,true,
120,301,0,312,17,0,26,17,true,
82,223,0,162,10,0,19,10,true,
