src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
331247,401469,890,205970,608,79,222,608,true,
19287,50250,238,55865,293,41,125,293,true,
134758,114783,1108,251093,695,40,353,695,true,
430859,107138,1230,286104,896,17,336,896,true,
343251,164793,1557,362588,1079,17,340,1079,true,
299528,107313,980,215565,692,16,277,692,true,
239579,419915,959,231803,880,24,283,880,true,
128638,420187,1068,243744,551,17,354,551,true,
123305,277143,327,80184,432,16,202,432,true,
23630,430384,1979,452250,883,16,230,883,true,
222943,77883,547,128647,421,19,241,421,true,
213704,478448,783,191867,803,19,246,803,true,
222137,443069,1926,447781,1134,19,275,1134,true,
476383,127378,452,112492,698,16,304,698,true,
235784,94550,1820,396048,858,17,309,858,true,
327742,193801,2083,422169,1104,18,260,1104,true,
240158,333486,2264,473942,1040,20,363,1040,true,
75399,429164,2229,493727,1043,19,370,1043,true,
222339,425219,2139,451846,1060,19,301,1060,true,
306628,113006,859,172824,514,24,242,514,true,
479478,431117,1898,404365,1188,19,364,1188,true,
166328,230434,1821,404478,849,17,411,849,true,
131745,384835,2110,417119,1077,23,462,1077,true,
329473,56749,1107,205767,705,21,240,705,true,
488721,13285,691,131448,912,19,351,912,true,
111617,263507,841,180296,525,17,197,525,true,
11809,260880,1527,299649,664,21,289,664,true,
442450,68335,176,36575,513,23,155,513,true,
370051,435022,2234,468636,1292,21,404,1292,true,
118768,470127,882,198997,705,19,230,705,true,
152446,401656,1884,429255,1143,20,428,1143,true,
393675,285888,1021,232731,839,17,324,839,true,
411279,381823,1921,434749,1190,18,353,1190,true,
74376,487190,2201,491118,1030,17,329,1030,true,
266041,22843,659,155703,757,19,323,757,true,
152429,492025,1164,278000,897,19,350,897,true,
5493,468900,2098,472946,814,19,243,814,true,
124306,356826,1827,421939,949,19,350,949,true,
466042,495959,30,6363,125,15,68,125,true,
170050,392113,2066,457984,1097,17,284,1097,true,
28542,190129,1338,302092,725,16,285,725,true,
92689,102699,1615,352916,699,20,323,699,true,
118565,337455,2101,471921,1020,20,469,1020,true,
411528,253512,1080,242538,951,21,321,951,true,
202695,490168,1973,431653,1074,20,434,1074,true,
149270,104370,1746,375250,798,18,365,798,true,
465225,268276,1901,433325,1202,17,339,1202,true,
421271,370725,1784,401762,1123,17,358,1123,true,
41532,235335,944,209423,501,20,275,501,true,
326955,341749,18,3010,156,19,61,156,true,
240555,5966,701,158862,465,20,301,465,true,
106240,484528,1655,366410,700,20,268,700,true,
450964,95934,511,122452,609,17,253,609,true,
400420,168342,1290,293507,1040,16,272,1040,true,
158404,135377,529,126976,596,17,193,596,true,
142258,317989,1511,324196,673,20,431,673,true,
254033,207272,1059,235050,763,26,246,763,true,
336794,389241,106,19804,234,20,124,234,true,
238655,373134,2085,477924,1175,19,347,1175,true,
497012,469638,1858,430473,1246,17,283,1246,true,
45760,41220,15,1696,51,16,57,51,true,
283017,455421,1395,317474,726,17,379,726,true,
265618,77303,1195,275700,765,19,270,765,true,
358557,369900,789,183006,605,19,288,605,true,
460682,371338,1454,338975,941,19,319,941,true,
494950,233636,1136,263993,899,20,344,899,true,
268530,411918,1012,228846,613,17,302,613,true,
73018,370788,1992,454961,980,18,368,980,true,
396037,242675,1523,352846,1250,17,349,1250,true,
96052,73364,866,203497,672,21,332,672,true,
423887,392222,1466,338966,905,19,318,905,true,
136764,420180,1196,251581,633,21,420,633,true,
29799,459011,1761,393935,748,20,445,748,true,
116771,309663,717,166595,458,17,312,458,true,
273936,28947,697,160589,497,17,345,497,true,
333601,230309,1820,418703,1053,17,456,1053,true,
177895,89624,1710,374524,841,20,402,841,true,
1165,7004,19,3429,80,18,72,80,true,
474394,312143,141,34922,356,19,147,356,true,
183367,343903,728,164644,471,19,203,471,true,
379636,237561,80,19883,276,16,122,276,true,
87332,308712,721,167128,536,17,250,536,true,
281711,169048,1821,403848,907,17,329,907,true,
321179,425559,1990,438649,1229,21,233,1229,true,
325905,26453,413,94003,556,20,183,556,true,
229615,97949,1597,334090,805,21,334,805,true,
209091,390956,173,39467,295,19,84,295,true,
225448,341482,1849,396081,1171,19,373,1171,true,
422745,94416,435,103033,793,16,182,793,true,
435589,327582,1713,383389,1102,17,212,1102,true,
120305,98585,999,233337,795,20,428,795,true,
70005,225522,1163,270458,707,19,199,707,true,
423243,249974,315,80387,593,19,262,593,true,
305161,255057,1984,444609,1023,18,282,1023,true,
276663,208102,581,137826,502,17,277,502,true,
285903,237836,21,3454,84,15,35,84,true,
169049,297741,1512,343777,925,17,293,925,true,
141471,56759,237,54038,293,20,185,293,true,
120167,301021,1552,350206,908,21,280,908,true,
82349,223630,187,46456,323,19,110,323,true,
