src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
33124,40146,171,47265,514,10,147,514,true,
1928,5025,41,10674,135,1,76,135,true,
13475,11478,90,20513,250,2,69,250,true,
43085,10713,17,4591,252,2,75,252,true,
34325,16479,149,35498,435,2,101,435,true,
29952,10731,22,5938,128,2,61,128,true,
23957,41991,156,35305,389,2,97,389,true,
12863,42018,81,17598,192,1,63,192,true,
12330,27714,55,13444,210,3,85,210,true,
2363,43038,152,34364,278,2,94,278,true,
22294,7788,138,32543,334,2,80,334,true,
21370,47844,124,28417,336,2,104,336,true,
22213,44306,233,45452,469,4,99,469,true,
47638,12737,157,36781,413,2,120,413,true,
23578,9455,127,31640,351,3,97,351,true,
32774,19380,64,14544,239,2,80,239,true,
24015,33348,18,4152,122,2,62,122,true,
7539,42916,214,47869,395,2,76,395,true,
22233,42521,208,44893,465,3,103,465,true,
30662,11300,30,7253,151,2,73,151,true,
47947,43111,218,49065,524,2,138,524,true,
16632,23043,71,16441,214,2,77,214,true,
13174,38483,165,42527,395,2,113,395,true,
32947,5674,121,33223,386,4,128,386,true,
48872,1328,65,18221,287,1,81,287,true,
11161,26350,201,46266,403,2,116,403,true,
1180,26088,114,29051,239,1,81,239,true,
44245,6833,40,11591,253,1,87,253,true,
37005,43502,194,48760,540,2,101,540,true,
11876,47012,210,49463,407,2,61,407,true,
15244,40165,149,37977,373,2,134,373,true,
39367,28588,82,22840,390,2,107,390,true,
41127,38182,166,42960,473,2,116,473,true,
7437,48719,77,19924,187,1,62,187,true,
26604,2284,95,25831,323,2,110,323,true,
15242,49202,186,49931,485,4,128,485,true,
549,46890,167,43948,292,2,117,292,true,
12430,35682,91,21431,262,3,106,262,true,
46604,49595,197,49349,568,2,139,568,true,
17005,39211,41,10935,167,2,56,167,true,
2854,19012,142,35903,274,2,101,274,true,
9268,10269,25,7480,155,2,97,155,true,
11856,33745,176,48108,415,2,135,415,true,
41152,25351,110,31098,388,2,104,388,true,
20269,49016,28,8057,147,1,56,147,true,
14927,10437,103,28322,281,2,121,281,true,
46522,26827,149,41099,428,23,117,428,true,
42127,37072,116,32814,417,2,131,417,true,
4153,23533,124,32935,249,1,82,249,true,
32695,34174,162,45006,503,1,71,503,true,
24055,596,65,18744,274,2,97,274,true,
10624,48452,55,15565,190,2,98,190,true,
45096,9593,101,28620,379,2,93,379,true,
40042,16834,159,43527,457,2,127,457,true,
15840,13537,54,15479,252,1,97,252,true,
14225,31798,6,1752,91,1,37,91,true,
25403,20727,118,32782,364,2,124,364,true,
33679,38924,175,47059,474,2,121,474,true,
23865,37313,50,13933,214,18,81,214,true,
49701,46963,23,6814,206,1,58,206,true,
4576,4122,4,1246,45,1,45,45,true,
28301,45542,84,23135,315,1,63,315,true,
26561,7730,52,14763,259,2,89,259,true,
35855,36990,134,36407,398,2,101,398,true,
46068,37133,166,45812,498,2,141,498,true,
49495,23363,114,32185,422,2,161,422,true,
26853,41191,106,29960,370,1,74,370,true,
7301,37078,151,41115,346,2,94,346,true,
39603,24267,161,44419,491,2,112,491,true,
9605,7336,41,11494,153,16,38,153,true,
42388,39222,21,6260,165,1,47,165,true,
13676,42018,112,31110,303,2,102,303,true,
2979,45901,196,48335,395,2,96,395,true,
11677,30966,135,32075,321,2,138,321,true,
27393,2894,76,19750,286,2,107,286,true,
33360,23030,22,5983,141,1,60,141,true,
17789,8962,50,12915,220,2,107,220,true,
116,700,2,680,46,1,34,46,true,
47439,31214,161,43538,531,1,73,531,true,
18336,34390,99,27166,287,1,85,287,true,
37963,23756,127,35696,408,2,120,408,true,
8733,30871,30,8843,189,1,56,189,true,
28171,16904,126,35625,396,2,104,396,true,
32117,42555,169,45995,462,12,145,462,true,
32590,2645,59,16933,289,1,96,289,true,
22961,9794,8,2427,115,1,49,115,true,
20909,39095,14,4123,86,1,53,86,true,
22544,34148,22,6383,120,1,29,120,true,
42274,9441,33,9568,190,1,70,190,true,
43558,32758,37,10976,278,1,96,278,true,
12030,9858,1,235,26,1,28,26,true,
7000,22552,127,34651,304,2,119,304,true,
42324,24997,11,3265,102,1,70,102,true,
30516,25505,134,37087,411,2,102,411,true,
27666,20810,136,37582,384,20,105,384,true,
28590,23783,46,13586,241,1,71,241,true,
16904,29774,107,29187,292,2,83,292,true,
14147,5675,91,25598,299,2,144,299,true,
12016,30102,143,39095,366,2,112,366,true,
8234,22363,50,13963,172,1,75,172,true,
