src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
662,802,2,811,90,0,33,90,true,
38,100,0,172,29,0,20,29,true,
269,229,1,367,20,0,14,20,true,
861,214,0,205,33,0,35,33,true,
686,329,2,828,68,0,44,68,true,
599,214,0,81,15,0,31,15,true,
479,839,4,903,55,0,32,55,true,
257,840,3,841,50,0,27,50,true,
246,554,2,659,32,0,40,32,true,
47,860,2,873,52,0,32,52,true,
445,155,1,342,19,0,45,19,true,
427,956,3,862,54,0,31,54,true,
444,886,2,785,42,0,38,42,true,
952,254,1,558,52,0,37,52,true,
471,189,0,63,12,0,29,12,true,
655,387,0,129,19,0,35,19,true,
480,666,2,689,40,0,30,40,true,
150,858,2,813,45,0,26,45,true,
444,850,2,755,40,0,39,40,true,
613,226,0,311,59,0,32,59,true,
958,862,0,102,17,0,26,17,true,
332,460,3,943,59,0,37,59,true,
263,769,2,780,72,0,33,72,true,
658,113,0,162,24,0,30,24,true,
977,26,1,412,48,0,31,48,true,
223,527,2,958,56,0,31,56,true,
23,521,1,429,24,0,28,24,true,
884,136,2,719,56,0,44,56,true,
740,870,0,75,12,0,17,12,true,
237,940,3,942,80,0,28,80,true,
304,803,3,993,76,0,38,76,true,
787,571,1,569,45,0,27,45,true,
822,763,0,22,10,0,13,10,true,
148,974,2,899,47,0,21,47,true,
532,45,1,499,32,0,28,32,true,
304,984,2,912,55,0,44,55,true,
10,937,3,930,53,0,32,53,true,
248,713,2,575,28,0,30,28,true,
932,991,2,787,67,0,29,67,true,
340,784,1,588,29,0,27,29,true,
57,380,1,408,28,0,33,28,true,
185,205,0,237,16,0,26,16,true,
237,674,1,693,63,0,32,63,true,
823,507,0,234,37,0,24,37,true,
405,980,3,776,40,0,32,40,true,
298,208,1,395,21,0,39,21,true,
930,536,1,577,91,0,28,91,true,
842,741,0,82,11,0,19,11,true,
83,470,1,394,18,0,17,18,true,
653,683,1,365,26,0,28,26,true,
481,11,1,641,37,0,36,37,true,
212,969,2,865,38,0,10,38,true,
901,191,0,281,39,0,28,39,true,
800,336,0,288,34,0,19,34,true,
316,270,1,343,17,0,34,17,true,
284,635,2,656,63,0,26,63,true,
508,414,0,233,19,0,29,19,true,
673,778,2,790,65,0,37,65,true,
477,746,1,490,23,0,33,23,true,
994,939,0,145,17,0,22,17,true,
91,82,0,34,8,0,13,8,true,
566,910,2,712,43,0,24,43,true,
531,154,1,476,31,0,36,31,true,
717,739,2,751,58,0,30,58,true,
921,742,0,66,10,0,10,10,true,
989,467,1,380,46,0,28,46,true,
537,823,0,248,22,0,28,22,true,
146,741,2,598,31,0,21,31,true,
792,485,1,623,54,0,32,54,true,
192,146,0,116,10,0,22,10,true,
847,784,2,850,63,0,24,63,true,
273,840,2,844,43,0,26,43,true,
59,918,2,917,55,0,27,55,true,
233,619,2,644,33,0,33,33,true,
547,57,2,606,30,0,39,30,true,
667,460,2,943,72,0,28,72,true,
355,179,0,298,22,0,24,22,true,
2,14,0,17,7,0,11,7,true,
948,624,2,769,61,0,36,61,true,
366,687,2,984,70,0,36,70,true,
759,475,0,146,24,0,31,24,true,
174,617,2,582,29,0,38,29,true,
563,338,1,412,62,0,24,62,true,
642,851,2,782,62,0,35,62,true,
651,52,2,493,32,0,29,32,true,
459,195,0,165,16,0,31,16,true,
418,781,2,641,36,0,33,36,true,
450,682,1,379,20,0,38,20,true,
845,188,1,371,41,0,26,41,true,
871,655,3,794,60,0,39,60,true,
240,197,1,219,16,0,29,16,true,
140,451,1,464,21,0,25,21,true,
846,499,1,292,37,0,35,37,true,
610,510,0,233,24,0,42,24,true,
553,416,0,173,17,0,30,17,true,
571,475,0,308,23,0,32,23,true,
338,595,0,305,19,0,20,19,true,
282,113,0,203,42,0,24,42,true,
240,602,1,592,31,0,42,31,true,
164,447,1,426,21,0,42,21,true,
