src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
3312,4014,15,4079,172,0,58,172,true,
192,502,1,516,24,0,49,24,true,
1347,1147,3,984,28,0,42,28,true,
4308,1071,2,912,68,0,45,68,true,
3432,1647,12,2773,118,0,63,118,true,
2995,1073,7,2153,103,1,53,103,true,
2395,4199,15,4342,193,0,47,193,true,
1286,4201,10,2876,73,0,27,73,true,
1233,2771,12,3107,157,0,51,157,true,
236,4303,15,4209,106,0,56,106,true,
2229,778,7,2124,75,0,50,75,true,
2137,4784,16,4447,162,0,55,162,true,
2221,4430,13,3431,123,0,44,123,true,
4763,1273,11,3141,144,0,65,144,true,
2357,945,2,866,37,0,38,37,true,
3277,1938,11,2934,125,0,59,125,true,
2401,3334,13,3586,186,0,26,186,true,
753,4291,8,2450,66,0,32,66,true,
2223,4252,16,4138,124,0,58,124,true,
3066,1130,6,1670,158,0,54,158,true,
4794,4311,14,4314,187,0,61,187,true,
1663,2304,12,3046,103,0,71,103,true,
1317,3848,14,3942,117,0,46,117,true,
3294,567,8,2086,85,0,46,85,true,
4887,132,2,764,131,0,44,131,true,
1116,2635,16,4635,152,0,74,152,true,
118,2608,8,2361,74,0,53,74,true,
4424,683,9,2552,116,0,61,116,true,
3700,4350,17,4886,210,0,45,210,true,
1187,4701,16,4422,141,0,61,141,true,
1524,4016,15,3759,107,0,52,107,true,
3936,2858,13,3612,166,0,34,166,true,
4112,3818,15,4228,177,0,40,177,true,
743,4871,8,2311,66,0,41,66,true,
2660,228,12,2981,91,0,56,91,true,
1524,4920,16,4336,115,0,58,115,true,
54,4689,17,4564,110,0,65,110,true,
1243,3568,15,4171,133,0,60,133,true,
4660,4959,9,2193,115,0,46,115,true,
1700,3921,9,2981,80,0,53,80,true,
285,1901,7,1700,56,0,78,56,true,
926,1026,2,656,40,0,24,40,true,
1185,3374,13,3611,98,0,63,98,true,
4115,2535,1,670,65,0,30,65,true,
2026,4901,18,4922,194,0,46,194,true,
1492,1043,2,787,27,0,48,27,true,
4652,2682,2,412,33,0,34,33,true,
4212,3707,17,4806,209,0,48,209,true,
415,2353,8,2325,72,0,42,72,true,
3269,3417,11,3141,130,0,51,130,true,
2405,59,5,1778,86,0,38,86,true,
1062,4845,14,3647,100,0,63,100,true,
4509,959,10,2888,134,0,71,134,true,
4004,1683,8,2578,122,0,46,122,true,
1584,1353,2,484,21,0,45,21,true,
1422,3179,13,3707,134,0,59,134,true,
2540,2072,11,2922,96,0,53,96,true,
3367,3892,0,230,35,0,26,35,true,
2386,3731,14,3923,157,0,57,157,true,
4970,4696,15,4417,192,0,36,192,true,
457,412,1,572,33,0,39,33,true,
2830,4554,1,351,23,0,32,23,true,
2656,773,14,4130,140,0,45,140,true,
3585,3699,14,3899,204,0,54,204,true,
4606,3713,16,4812,213,0,44,213,true,
4949,2336,17,4589,199,0,60,199,true,
2685,4119,15,4124,165,0,55,165,true,
730,3707,17,4806,148,0,51,148,true,
3960,2426,10,2821,192,0,47,192,true,
960,733,0,201,26,0,18,26,true,
4238,3922,11,3287,142,0,55,142,true,
1367,4201,12,3484,100,0,42,100,true,
297,4590,16,4334,107,0,56,107,true,
1167,3096,14,3658,106,0,46,106,true,
2739,289,7,1737,70,0,47,70,true,
3336,2303,9,3074,123,0,59,123,true,
1778,896,3,699,29,0,66,29,true,
11,70,0,81,20,0,14,20,true,
4743,3121,4,1316,84,0,30,84,true,
1833,3439,10,2807,87,0,56,87,true,
3796,2375,2,754,59,0,53,59,true,
873,3087,13,3676,119,0,56,119,true,
2817,1690,1,347,43,0,44,43,true,
3211,4255,15,4153,150,0,54,150,true,
3259,264,2,889,123,0,39,123,true,
2296,979,3,996,39,0,43,39,true,
2090,3909,13,3636,128,0,49,128,true,
2254,3414,12,3318,128,0,55,128,true,
4227,944,4,1489,164,0,40,164,true,
4355,3275,12,3527,207,0,46,207,true,
1203,985,6,2058,68,0,39,68,true,
700,2255,14,3776,95,0,64,95,true,
4232,2499,10,2885,195,0,56,195,true,
3051,2550,2,936,58,0,38,58,true,
2766,2081,0,46,11,0,15,11,true,
2859,2378,13,3799,148,0,51,148,true,
1690,2977,9,2508,69,0,54,69,true,
1414,567,7,1854,57,0,70,57,true,
1201,3010,1,489,45,0,31,45,true,
823,2236,8,2033,61,0,52,61,true,
