src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
1324,1605,0,108,9,0,14,9,0,16,9,true,
77,201,0,145,13,0,16,13,0,18,13,true,
539,459,4,524,30,0,42,30,0,63,30,true,
1723,428,10,1597,74,0,47,74,0,78,74,true,
1373,659,13,1809,77,0,52,77,0,75,77,true,
1198,429,7,1109,69,0,50,69,0,65,69,true,
958,1679,9,1648,61,0,42,61,0,64,61,true,
514,1680,12,1602,64,0,55,64,0,54,64,true,
493,1108,8,1173,94,0,38,94,0,62,94,true,
94,1721,11,1717,75,0,46,75,0,59,75,true,
891,311,7,902,35,0,20,35,0,49,35,true,
854,1913,14,1992,132,0,38,132,0,78,132,true,
888,1772,5,916,34,0,28,34,0,49,34,true,
1905,509,1,311,56,0,33,56,0,37,56,true,
943,378,7,1156,43,0,54,43,0,55,43,true,
1310,775,9,1528,63,0,41,63,0,47,63,true,
960,1333,8,1152,57,0,50,57,0,74,57,true,
301,1716,11,1706,69,0,40,69,0,61,69,true,
889,1700,5,949,38,0,45,38,0,66,38,true,
1226,452,9,1350,56,0,57,56,0,56,56,true,
1917,1724,11,1885,122,0,43,122,0,88,122,true,
665,921,7,855,45,0,45,45,0,47,45,true,
526,1539,2,434,60,0,25,60,0,37,60,true,
1317,226,12,1645,66,0,33,66,0,53,66,true,
1954,53,9,1601,78,0,47,78,0,54,78,true,
446,1054,9,1250,52,0,42,52,0,43,52,true,
47,1043,7,1060,57,0,49,57,0,60,57,true,
1769,273,7,1145,62,0,41,62,0,59,62,true,
1480,1740,11,1705,77,0,36,77,0,69,77,true,
475,1880,11,1780,66,0,48,66,0,52,66,true,
609,1606,10,1642,80,0,46,80,0,72,80,true,
1574,1143,0,57,11,0,18,11,0,22,11,true,
1645,1527,4,620,33,0,40,33,0,53,33,true,
297,1948,11,1886,76,0,49,76,0,53,76,true,
1064,91,10,1323,52,0,48,52,0,52,52,true,
609,1968,14,1996,116,0,48,116,0,82,116,true,
21,1875,12,1889,87,0,45,87,0,83,87,true,
497,1427,5,843,40,0,36,40,0,45,40,true,
1864,1983,1,325,22,0,19,22,0,53,22,true,
680,1568,9,1438,61,0,40,61,0,64,61,true,
114,760,7,1300,65,0,40,65,0,56,65,true,
370,410,2,410,23,0,34,23,0,50,23,true,
474,1349,5,1030,37,0,38,37,0,56,37,true,
1646,1014,1,338,22,0,37,22,0,44,22,true,
810,1960,4,891,32,0,47,32,0,57,32,true,
597,417,2,562,36,0,41,36,0,43,36,true,
1860,1073,0,166,20,0,23,20,0,46,20,true,
1685,1482,3,635,31,0,40,31,0,69,31,true,
166,941,4,840,45,0,27,45,0,47,45,true,
1307,1366,3,784,64,0,36,64,0,60,64,true,
962,23,4,949,48,0,39,48,0,70,48,true,
424,1938,8,1540,63,0,42,63,0,72,63,true,
1803,383,4,986,56,0,33,56,0,67,56,true,
1601,673,9,1752,84,0,49,84,0,70,84,true,
633,541,1,272,24,0,29,24,0,33,24,true,
569,1271,3,606,36,0,32,36,0,39,36,true,
1016,829,1,353,18,0,35,18,0,50,18,true,
1347,1556,3,758,27,0,41,27,0,48,27,true,
954,1492,1,270,13,0,15,13,0,25,13,true,
1988,1878,1,412,29,0,27,29,0,60,29,true,
183,164,0,22,5,0,15,5,0,11,5,true,
1132,1821,2,374,17,0,21,17,0,35,17,true,
1062,309,5,1055,43,0,40,43,0,31,43,true,
1434,1479,4,841,35,0,37,35,0,59,35,true,
1842,1485,7,1433,85,0,41,85,0,77,85,true,
1979,934,1,373,23,0,42,23,0,48,23,true,
1074,1647,4,866,33,0,36,33,0,47,33,true,
292,1483,7,1303,48,0,42,48,0,51,48,true,
1584,970,2,414,22,0,36,22,0,56,22,true,
384,293,1,299,20,0,37,20,0,32,20,true,
1695,1568,1,350,21,0,35,21,0,49,21,true,
547,1680,8,1633,65,0,58,65,0,51,65,true,
119,1836,9,1709,59,0,46,59,0,59,59,true,
467,1238,2,575,32,0,22,32,0,25,32,true,
1095,115,2,529,46,0,43,46,0,57,46,true,
1334,921,1,221,17,0,30,17,0,31,17,true,
711,358,0,155,20,0,23,20,0,28,20,true,
4,28,0,25,8,0,10,8,0,18,8,true,
1897,1248,3,721,32,0,41,32,0,66,32,true,
733,1375,5,1094,46,0,44,46,0,74,46,true,
1518,950,0,209,18,0,33,18,0,47,18,true,
349,1234,6,1293,92,0,40,92,0,55,92,true,
1126,676,7,1541,54,0,38,54,0,60,54,true,
1284,1702,0,157,12,0,18,12,0,20,12,true,
1303,105,1,263,83,0,26,83,0,41,83,true,
918,391,5,1138,42,0,37,42,0,53,42,true,
836,1563,7,1449,51,0,37,51,0,65,51,true,
901,1365,7,1491,62,0,37,62,0,54,62,true,
1690,377,5,1199,61,0,55,61,0,63,61,true,
1742,1310,0,53,10,0,22,10,0,20,10,true,
481,394,0,16,5,0,11,5,0,15,5,true,
280,902,3,617,31,0,37,31,0,66,31,true,
1692,999,3,775,37,0,35,37,0,59,37,true,
1220,1020,1,210,14,0,29,14,0,25,14,true,
1106,832,2,506,52,0,34,52,0,49,52,true,
1143,951,6,1356,67,0,39,67,0,71,67,true,
676,1190,9,1749,71,0,46,71,0,67,71,true,
565,227,2,549,33,0,42,33,0,51,33,true,
480,1204,5,1049,49,0,38,49,0,40,49,true,
329,894,5,966,82,0,58,82,0,60,82,true,
