src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
66249,80293,703,93372,667,4,171,667,4,192,667,true,
3857,10050,13,1755,71,4,46,71,3,49,71,true,
26951,22956,339,46629,361,3,152,361,3,165,361,true,
86171,21427,561,75370,569,3,140,569,4,213,569,true,
68650,32958,494,66528,534,3,156,534,3,200,534,true,
59905,21462,347,47737,333,3,127,333,4,178,333,true,
47915,83983,712,93844,566,4,147,566,4,222,566,true,
25727,84037,298,41531,325,3,88,325,3,121,325,true,
24661,55428,360,49123,400,3,133,400,3,167,400,true,
4726,86076,494,65397,353,3,122,353,4,180,353,true,
44588,15576,176,25497,270,3,111,270,3,180,270,true,
42740,95689,532,71205,463,3,140,463,3,188,463,true,
44427,88613,681,89759,616,3,157,616,3,212,616,true,
95276,25475,125,18537,307,3,112,307,3,166,307,true,
47156,18910,46,6887,127,3,81,127,3,81,127,true,
65548,38760,526,71588,578,6,149,578,3,170,578,true,
48031,66697,212,29902,333,3,84,333,3,107,333,true,
15079,85832,411,56059,330,3,127,330,3,168,330,true,
44467,85043,265,36918,411,3,128,411,3,130,411,true,
61325,22601,333,45310,393,3,151,393,3,189,393,true,
95895,86223,335,47379,504,3,161,504,3,192,504,true,
33265,46086,455,61686,440,3,123,440,3,173,440,true,
26349,76967,447,60040,364,3,100,364,3,149,364,true,
65894,11349,369,51142,360,3,144,360,3,212,360,true,
97744,2657,194,28084,413,3,131,413,4,202,413,true,
22323,52701,317,43220,304,7,123,304,3,183,304,true,
2361,52176,294,40451,290,3,140,290,4,177,290,true,
88490,13667,424,58508,453,3,149,453,3,181,453,true,
74010,87004,549,73479,603,9,170,603,4,208,603,true,
23753,94025,710,93920,501,3,133,501,3,162,501,true,
30489,80331,280,38660,245,3,102,245,3,162,245,true,
78735,57177,64,9596,179,3,85,179,11,131,179,true,
82255,76364,11,1758,51,3,43,51,3,73,51,true,
14875,97438,538,71552,408,3,131,408,3,181,408,true,
53208,4568,260,36261,259,3,116,259,6,122,259,true,
30485,98405,760,99500,624,3,147,624,3,166,624,true,
1098,93780,598,79099,363,3,154,363,4,210,363,true,
24861,71365,688,90690,488,3,129,488,6,202,488,true,
93208,99191,635,84388,635,3,154,635,3,199,635,true,
34010,78422,588,76197,530,4,159,530,4,206,530,true,
5708,38025,347,43133,267,7,131,267,3,153,267,true,
18537,20539,536,72291,398,3,83,398,3,150,398,true,
23713,67491,487,65804,423,3,121,423,3,182,423,true,
82305,50702,26,4079,147,6,53,147,3,79,147,true,
40539,98033,749,99513,645,4,205,645,3,227,645,true,
29854,20874,327,45149,384,3,109,384,3,173,384,true,
93045,53655,156,22980,316,6,75,316,3,184,316,true,
84254,74145,396,54629,457,3,134,457,3,191,457,true,
8306,47067,364,48526,308,3,127,308,3,177,308,true,
65391,68349,247,34805,276,4,106,276,7,127,276,true,
48111,1193,271,38068,366,3,171,366,3,128,366,true,
21248,96905,753,99310,587,3,133,587,3,199,587,true,
90192,19186,498,67488,527,6,138,527,4,236,527,true,
80084,33668,509,69500,560,3,163,560,4,225,560,true,
31680,27075,382,52660,409,3,146,409,3,145,409,true,
28451,63597,662,88020,524,7,135,524,3,172,524,true,
50806,41454,59,9019,163,3,94,163,3,143,163,true,
67358,77848,148,21511,254,3,114,254,3,132,254,true,
47731,74626,30,4523,78,3,41,78,6,89,78,true,
99402,93927,731,97490,672,3,140,672,4,223,672,true,
9152,8244,122,18043,224,3,101,224,3,100,224,true,
