src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
6624,8029,41,4798,156,1,54,156,0,51,156,true,
385,1005,11,1157,41,0,39,41,0,70,41,true,
2695,2295,55,4814,177,1,60,177,1,100,177,true,
8617,2142,90,8789,225,0,40,225,0,51,225,true,
6865,3295,16,1861,86,0,53,86,1,48,86,true,
5990,2146,77,8565,205,0,76,205,0,90,205,true,
4791,8398,93,9661,220,0,47,220,0,68,220,true,
2572,8403,17,2131,65,0,38,65,0,49,65,true,
2466,5542,71,7827,174,0,72,174,0,78,174,true,
472,8607,60,6602,118,0,47,118,0,101,118,true,
4458,1557,37,4032,181,0,69,181,1,115,181,true,
4274,9568,89,9829,219,0,53,219,0,103,219,true,
4442,8861,43,5211,139,0,63,139,0,89,139,true,
9527,2547,22,3113,136,0,59,136,0,72,136,true,
4715,1891,29,3122,120,0,70,120,0,86,120,true,
6554,3876,61,6720,199,0,63,199,0,73,199,true,
4803,6669,67,7599,189,0,80,189,0,65,189,true,
1507,8583,89,9865,213,1,51,213,0,83,213,true,
4446,8504,61,6807,171,0,77,171,0,64,171,true,
6132,2260,43,4739,208,0,51,208,0,75,208,true,
9589,8622,90,8894,291,1,63,291,1,74,291,true,
3326,4608,77,7304,177,0,47,177,0,85,177,true,
2634,7696,11,980,56,0,38,56,0,40,56,true,
6589,1134,26,2663,90,1,64,90,1,76,90,true,
9774,265,26,2756,131,0,74,131,0,76,131,true,
2232,5270,39,3464,84,0,52,84,1,111,84,true,
236,5217,97,8431,138,0,64,138,0,61,138,true,
8849,1366,40,3891,135,0,65,135,7,137,135,true,
7401,8700,86,8972,276,0,52,276,0,76,276,true,
2375,9402,44,5202,103,0,68,103,0,99,103,true,
3048,8033,34,4272,93,0,41,93,0,53,93,true,
7873,5717,0,46,17,0,15,17,0,20,17,true,
8225,7636,61,7816,203,0,40,203,0,81,203,true,
1487,9743,69,8828,151,0,53,151,0,128,151,true,
5320,456,4,874,93,0,57,93,0,60,93,true,
3048,9840,28,3551,82,0,38,82,0,94,82,true,
109,9378,71,9139,138,0,61,138,0,68,138,true,
2486,7136,63,8516,162,0,67,162,0,104,162,true,
9320,9919,8,1203,86,0,40,86,0,55,86,true,
3401,7842,75,9785,237,0,52,237,0,104,237,true,
570,3802,43,4960,110,0,75,110,0,91,110,true,
1853,2053,27,3744,104,0,54,104,0,68,104,true,
2371,6749,9,1356,46,0,42,46,0,42,46,true,
8230,5070,50,6425,180,1,67,180,0,88,180,true,
4053,9803,69,6779,145,0,40,145,0,63,145,true,
2985,2087,5,614,35,0,27,35,0,76,35,true,
9304,5365,4,710,97,0,35,97,0,54,97,true,
8425,7414,89,9738,274,0,73,274,0,87,274,true,
830,4706,54,6206,100,0,63,100,0,54,100,true,
6539,6834,81,8773,225,0,80,225,0,117,225,true,
4811,119,16,2084,96,0,47,96,0,71,96,true,
2124,9690,58,6026,118,0,72,118,0,147,118,true,
9019,1918,5,1044,67,0,32,67,0,53,67,true,
8008,3366,13,1403,82,0,32,82,0,50,82,true,
3168,2707,25,2883,117,1,44,117,1,114,117,true,
2845,6359,16,2009,75,0,31,75,0,65,75,true,
5080,4145,68,7653,188,0,70,188,0,98,188,true,
6735,7784,35,4094,113,0,56,113,0,66,113,true,
4773,7462,79,8001,246,0,59,246,0,76,246,true,
9940,9392,57,6567,188,0,51,188,0,83,188,true,
915,824,1,90,9,0,16,9,0,22,9,true,
5660,9108,57,7152,187,0,48,187,0,72,187,true,
5312,1546,17,2291,83,0,34,83,0,78,83,true,
