src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
3312,4014,32,4079,172,0,58,172,0,72,172,true,
192,502,3,516,24,0,49,24,0,44,24,true,
1347,1147,7,984,28,0,42,28,0,48,28,true,
4308,1071,6,912,68,0,45,68,0,56,68,true,
3432,1647,18,2773,118,0,63,118,0,69,118,true,
2995,1073,15,2153,103,0,53,103,0,67,103,true,
2395,4199,32,4342,193,0,47,193,0,57,193,true,
1286,4201,29,2876,73,0,27,73,0,49,73,true,
1233,2771,23,3107,157,0,51,157,1,55,157,true,
236,4303,36,4209,106,0,56,106,0,61,106,true,
2229,778,16,2124,75,0,50,75,0,54,75,true,
2137,4784,36,4447,162,0,55,162,0,68,162,true,
2221,4430,29,3431,123,0,44,123,0,78,123,true,
4763,1273,28,3141,144,0,65,144,0,113,144,true,
2357,945,5,866,37,0,38,37,0,52,37,true,
3277,1938,24,2934,125,0,59,125,0,62,125,true,
2401,3334,28,3586,186,0,26,186,0,54,186,true,
753,4291,16,2450,66,0,32,66,0,59,66,true,
2223,4252,26,4138,124,0,58,124,0,64,124,true,
3066,1130,9,1670,158,0,54,158,0,76,158,true,
4794,4311,25,4314,187,0,61,187,0,79,187,true,
1663,2304,18,3046,103,0,71,103,0,71,103,true,
1317,3848,22,3942,117,0,46,117,0,52,117,true,
3294,567,11,2086,85,0,46,85,0,76,85,true,
4887,132,3,764,131,0,44,131,0,74,131,true,
1116,2635,29,4635,152,0,74,152,0,48,152,true,
118,2608,14,2361,74,0,53,74,0,58,74,true,
4424,683,14,2552,116,0,61,116,0,76,116,true,
3700,4350,28,4886,210,0,45,210,0,66,210,true,
1187,4701,25,4422,141,0,61,141,0,66,141,true,
1524,4016,22,3759,107,0,52,107,0,78,107,true,
3936,2858,21,3612,166,0,34,166,0,55,166,true,
4112,3818,25,4228,177,0,40,177,0,77,177,true,
743,4871,17,2311,66,0,41,66,0,98,66,true,
2660,228,18,2981,91,0,56,91,0,66,91,true,
1524,4920,31,4336,115,0,58,115,0,79,115,true,
54,4689,37,4564,110,0,65,110,0,59,110,true,
1243,3568,36,4171,133,0,60,133,0,46,133,true,
4660,4959,17,2193,115,0,46,115,0,118,115,true,
1700,3921,25,2981,80,0,53,80,0,84,80,true,
285,1901,15,1700,56,0,78,56,0,75,56,true,
926,1026,5,656,40,0,24,40,0,54,40,true,
1185,3374,34,3611,98,0,63,98,0,61,98,true,
4115,2535,7,670,65,0,30,65,0,66,65,true,
2026,4901,40,4922,194,0,46,194,0,40,194,true,
1492,1043,8,787,27,0,48,27,0,64,27,true,
4652,2682,2,412,33,0,34,33,0,44,33,true,
4212,3707,36,4806,209,0,48,209,0,69,209,true,
415,2353,20,2325,72,0,42,72,0,52,72,true,
3269,3417,21,3141,130,0,51,130,0,60,130,true,
2405,59,12,1778,86,0,38,86,0,65,86,true,
1062,4845,24,3647,100,0,63,100,0,71,100,true,
4509,959,21,2888,134,0,71,134,0,90,134,true,
4004,1683,17,2578,122,0,46,122,0,44,122,true,
1584,1353,2,484,21,0,45,21,0,57,21,true,
1422,3179,26,3707,134,0,59,134,0,56,134,true,
2540,2072,20,2922,96,0,53,96,0,75,96,true,
3367,3892,1,230,35,0,26,35,0,40,35,true,
2386,3731,27,3923,157,0,57,157,0,59,157,true,
4970,4696,30,4417,192,0,36,192,0,64,192,true,
457,412,3,572,33,0,39,33,0,63,33,true,
2830,4554,1,351,23,0,32,23,0,48,23,true,
2656,773,29,4130,140,0,45,140,0,64,140,true,
3585,3699,27,3899,204,0,54,204,0,77,204,true,
4606,3713,33,4812,213,0,44,213,0,44,213,true,
4949,2336,31,4589,199,0,60,199,2,76,199,true,
2685,4119,28,4124,165,0,55,165,0,68,165,true,
730,3707,36,4806,148,0,51,148,0,78,148,true,
3960,2426,21,2821,192,0,47,192,0,59,192,true,
960,733,1,201,26,0,18,26,0,48,26,true,
4238,3922,23,3287,142,0,55,142,0,82,142,true,
1367,4201,25,3484,100,0,42,100,0,72,100,true,
297,4590,32,4334,107,0,56,107,0,50,107,true,
1167,3096,26,3658,106,0,46,106,0,55,106,true,
2739,289,11,1737,70,0,47,70,0,86,70,true,
3336,2303,22,3074,123,0,59,123,0,67,123,true,
1778,896,4,699,29,0,66,29,0,69,29,true,
11,70,0,81,20,0,14,20,0,34,20,true,
4743,3121,9,1316,84,0,30,84,0,75,84,true,
1833,3439,20,2807,87,0,56,87,0,48,87,true,
3796,2375,7,754,59,0,53,59,0,75,59,true,
873,3087,35,3676,119,0,56,119,0,79,119,true,
2817,1690,2,347,43,0,44,43,0,55,43,true,
3211,4255,41,4153,150,0,54,150,0,69,150,true,
3259,264,6,889,123,0,39,123,0,49,123,true,
2296,979,9,996,39,0,43,39,0,49,39,true,
