src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
2090,3909,31,3636,128,0,49,128,0,69,128,true,
2254,3414,32,3318,128,0,55,128,0,60,128,true,
4227,944,14,1489,164,0,40,164,0,53,164,true,
4355,3275,27,3527,207,0,46,207,0,61,207,true,
1203,985,14,2058,68,0,39,68,0,47,68,true,
700,2255,28,3776,95,0,64,95,0,56,95,true,
4232,2499,25,2885,195,0,56,195,0,69,195,true,
3051,2550,5,936,58,0,38,58,0,64,58,true,
2766,2081,0,46,11,0,15,11,0,15,11,true,
2859,2378,30,3799,148,0,51,148,0,77,148,true,
1690,2977,21,2508,69,0,54,69,0,75,69,true,
1414,567,17,1854,57,0,70,57,0,89,57,true,
1201,3010,4,489,45,0,31,45,0,35,45,true,
823,2236,17,2033,61,0,52,61,0,68,61,true,
