src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
662,802,4,811,90,0,33,90,0,63,90,true,
38,100,0,172,29,0,20,29,0,63,29,true,
269,229,1,367,20,0,14,20,0,47,20,true,
861,214,0,205,33,0,35,33,0,36,33,true,
686,329,6,828,68,0,44,68,0,48,68,true,
599,214,0,81,15,0,31,15,0,30,15,true,
479,839,5,903,55,0,32,55,0,46,55,true,
257,840,5,841,50,0,27,50,0,43,50,true,
246,554,5,659,32,0,40,32,0,62,32,true,
47,860,4,873,52,0,32,52,0,41,52,true,
445,155,1,342,19,0,45,19,0,30,19,true,
427,956,7,862,54,0,31,54,0,41,54,true,
444,886,4,785,42,0,38,42,0,21,42,true,
952,254,2,558,52,0,37,52,0,41,52,true,
471,189,0,63,12,0,29,12,0,30,12,true,
655,387,1,129,19,0,35,19,0,30,19,true,
480,666,6,689,40,0,30,40,0,32,40,true,
150,858,5,813,45,0,26,45,0,39,45,true,
444,850,7,755,40,0,39,40,0,29,40,true,
613,226,1,311,59,0,32,59,0,38,59,true,
958,862,0,102,17,0,26,17,0,16,17,true,
332,460,4,943,59,0,37,59,0,39,59,true,
263,769,6,780,72,0,33,72,0,37,72,true,
658,113,0,162,24,0,30,24,0,40,24,true,
977,26,2,412,48,0,31,48,0,42,48,true,
223,527,4,958,56,0,31,56,0,26,56,true,
23,521,3,429,24,0,28,24,0,39,24,true,
884,136,6,719,56,0,44,56,0,39,56,true,
740,870,0,75,12,0,17,12,0,21,12,true,
237,940,4,942,80,0,28,80,0,25,80,true,
304,803,8,993,76,0,38,76,0,70,76,true,
787,571,2,569,45,0,27,45,0,51,45,true,
822,763,0,22,10,0,13,10,0,15,10,true,
148,974,4,899,47,0,21,47,0,56,47,true,
532,45,5,499,32,0,28,32,0,44,32,true,
304,984,5,912,55,0,44,55,0,41,55,true,
10,937,4,930,53,0,32,53,0,33,53,true,
248,713,6,575,28,0,30,28,0,39,28,true,
932,991,4,787,67,0,29,67,0,42,67,true,
340,784,3,588,29,0,27,29,0,33,29,true,
57,380,5,408,28,0,33,28,0,44,28,true,
185,205,1,237,16,0,26,16,0,47,16,true,
237,674,3,693,63,0,32,63,0,51,63,true,
823,507,1,234,37,0,24,37,0,35,37,true,
405,980,5,776,40,0,32,40,0,29,40,true,
298,208,3,395,21,0,39,21,0,39,21,true,
930,536,3,577,91,0,28,91,0,60,91,true,
842,741,0,82,11,0,19,11,0,18,11,true,
83,470,2,394,18,0,17,18,0,50,18,true,
653,683,2,365,26,0,28,26,0,44,26,true,
481,11,5,641,37,0,36,37,0,51,37,true,
212,969,5,865,38,0,10,38,0,54,38,true,
901,191,1,281,39,0,28,39,0,35,39,true,
800,336,2,288,34,0,19,34,0,44,34,true,
316,270,3,343,17,0,34,17,0,36,17,true,
284,635,4,656,63,0,26,63,0,26,63,true,
508,414,1,233,19,0,29,19,0,25,19,true,
673,778,4,790,65,0,37,65,0,49,65,true,
477,746,4,490,23,0,33,23,0,40,23,true,
994,939,0,145,17,0,22,17,0,21,17,true,
91,82,0,34,8,0,13,8,0,19,8,true,
566,910,3,712,43,0,24,43,0,28,43,true,
531,154,2,476,31,0,36,31,0,43,31,true,
717,739,6,751,58,0,30,58,0,43,58,true,
921,742,0,66,10,0,10,10,0,14,10,true,
989,467,1,380,46,0,28,46,0,31,46,true,
537,823,1,248,22,0,28,22,0,28,22,true,
146,741,3,598,31,0,21,31,0,49,31,true,
792,485,4,623,54,0,32,54,0,36,54,true,
192,146,1,116,10,0,22,10,0,26,10,true,
847,784,5,850,63,0,24,63,0,37,63,true,
273,840,4,844,43,0,26,43,0,40,43,true,
59,918,8,917,55,0,27,55,0,47,55,true,
233,619,3,644,33,0,33,33,0,41,33,true,
547,57,3,606,30,0,39,30,0,47,30,true,
667,460,8,943,72,0,28,72,0,42,72,true,
355,179,1,298,22,0,24,22,0,28,22,true,
2,14,0,17,7,0,11,7,0,20,7,true,
948,624,3,769,61,0,36,61,0,58,61,true,
366,687,8,984,70,0,36,70,0,52,70,true,
759,475,0,146,24,0,31,24,0,27,24,true,
174,617,3,582,29,0,38,29,0,32,29,true,
563,338,2,412,62,0,24,62,0,51,62,true,
642,851,6,782,62,0,35,62,0,42,62,true,
651,52,2,493,32,0,29,32,0,46,32,true,
459,195,0,165,16,0,31,16,0,42,16,true,
418,781,3,641,36,0,33,36,0,34,36,true,
450,682,1,379,20,0,38,20,0,31,20,true,
845,188,4,371,41,0,26,41,0,46,41,true,
871,655,4,794,60,0,39,60,0,46,60,true,
240,197,1,219,16,0,29,16,0,38,16,true,
140,451,2,464,21,0,25,21,0,39,21,true,
846,499,1,292,37,0,35,37,0,34,37,true,
610,510,1,233,24,0,42,24,0,43,24,true,
553,416,1,173,17,0,30,17,0,34,17,true,
571,475,2,308,23,0,32,23,0,27,23,true,
338,595,1,305,19,0,20,19,0,41,19,true,
282,113,0,203,42,0,24,42,0,38,42,true,
240,602,3,592,31,0,42,31,0,61,31,true,
164,447,2,426,21,0,42,21,0,40,21,true,
