src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
331,401,3,482,57,0,34,57,0,53,57,true,
19,50,0,26,5,0,10,5,0,10,5,true,
134,114,0,129,12,0,23,12,0,20,12,true,
430,107,0,149,48,0,19,48,0,41,48,true,
343,164,1,216,19,0,29,19,0,33,19,true,
299,107,0,92,10,0,24,10,0,29,10,true,
239,419,2,372,23,0,31,23,0,30,23,true,
128,420,2,253,12,0,8,12,0,25,12,true,
123,277,1,285,16,0,20,16,0,25,16,true,
23,430,3,486,40,0,16,40,0,40,40,true,
222,77,0,47,7,0,15,7,0,13,7,true,
213,478,2,425,25,0,33,25,0,40,25,true,
222,443,1,265,14,0,24,14,0,42,14,true,
476,127,1,194,18,0,20,18,0,36,18,true,
235,94,1,122,11,0,18,11,0,19,11,true,
327,193,1,267,20,0,26,20,0,40,20,true,
240,333,0,125,12,0,27,12,0,21,12,true,
75,429,2,438,25,0,31,25,0,52,25,true,
222,425,1,196,12,0,17,12,0,26,12,true,
306,113,0,155,43,0,18,43,0,37,43,true,
479,431,2,487,63,0,31,63,0,58,63,true,
166,230,1,211,16,0,26,16,0,28,16,true,
131,384,2,343,23,0,29,23,0,34,23,true,
329,56,0,102,40,0,17,40,0,32,40,true,
488,13,1,276,27,0,33,27,0,55,27,true,
111,263,3,467,41,0,24,41,0,38,41,true,
11,260,1,290,28,0,28,28,0,69,28,true,
442,68,2,382,31,0,24,31,0,40,31,true,
370,435,2,431,35,0,28,35,0,43,35,true,
118,470,2,310,16,0,22,16,0,19,16,true,
152,401,3,482,49,0,34,49,0,48,49,true,
393,285,2,346,22,0,31,22,0,37,22,true,
411,381,0,117,14,0,23,14,0,27,14,true,
74,487,2,453,27,0,30,27,0,57,27,true,
266,22,0,164,15,0,27,15,0,24,15,true,
152,492,2,498,52,0,29,52,0,45,52,true,
5,468,3,475,35,0,26,35,0,67,35,true,
124,356,1,260,16,0,23,16,0,25,16,true,
466,495,0,12,4,0,9,4,0,9,4,true,
170,392,2,396,19,0,20,19,0,36,19,true,
28,190,1,229,17,0,25,17,0,30,17,true,
92,102,0,75,11,0,23,11,0,19,11,true,
118,337,0,171,11,0,19,11,0,16,11,true,
411,253,1,271,25,0,32,25,0,37,25,true,
202,490,2,496,54,0,25,54,0,44,54,true,
149,104,0,50,6,0,8,6,0,15,6,true,
465,268,0,92,16,0,23,16,0,21,16,true,
421,370,0,42,6,0,12,6,0,10,6,true,
41,235,1,270,20,0,31,20,0,40,20,true,
326,341,1,206,16,0,23,16,0,34,16,true,
240,5,2,407,26,0,30,26,0,55,26,true,
106,484,2,435,21,0,20,21,0,44,21,true,
450,95,0,173,16,0,29,16,0,36,16,true,
400,168,1,311,25,0,30,25,0,40,25,true,
158,135,0,6,3,0,9,3,0,11,3,true,
142,317,1,217,15,0,25,15,0,31,15,true,
254,207,3,464,45,0,34,45,0,49,45,true,
336,389,1,208,16,0,30,16,0,33,16,true,
238,373,2,481,52,0,27,52,0,32,52,true,
497,469,0,163,20,0,28,20,0,33,20,true,
45,41,0,46,10,0,19,10,0,17,10,true,
283,455,2,466,56,0,30,56,0,63,56,true,
265,77,1,327,23,0,32,23,0,38,23,true,
358,369,4,395,28,0,29,28,0,48,28,true,
460,371,0,5,3,0,8,3,0,8,3,true,
494,233,1,270,55,0,25,55,0,49,55,true,
268,411,0,90,9,0,17,9,0,15,9,true,
73,370,2,375,19,0,27,19,0,43,19,true,
396,242,1,373,25,0,27,25,0,45,25,true,
96,73,0,153,17,0,30,17,0,34,17,true,
423,392,1,279,21,0,23,21,0,55,21,true,
136,420,1,285,19,0,22,19,0,33,19,true,
29,459,4,370,23,0,27,23,0,47,23,true,
116,309,2,373,29,0,21,29,0,37,29,true,
273,28,1,375,20,0,21,20,0,39,20,true,
333,230,1,271,23,0,33,23,0,31,23,true,
177,89,0,86,11,0,15,11,0,20,11,true,
1,7,0,9,4,0,12,4,0,12,4,true,
474,312,0,16,9,0,17,9,0,21,9,true,
183,343,1,338,20,0,31,20,0,32,20,true,
379,237,2,465,52,0,30,52,0,45,52,true,
87,308,2,285,14,0,26,14,0,31,14,true,
281,169,1,308,20,0,26,20,0,36,20,true,
321,425,0,98,11,0,19,11,0,24,11,true,
325,26,1,238,18,0,28,18,0,40,18,true,
229,97,1,284,16,0,18,16,0,29,16,true,
209,390,1,203,15,0,31,15,0,26,15,true,
225,341,1,217,16,0,29,16,0,36,16,true,
422,94,0,189,16,0,24,16,0,40,16,true,
435,327,2,424,33,0,28,33,0,45,33,true,
120,98,3,459,35,0,23,35,0,35,35,true,
70,225,0,148,9,0,16,9,0,18,9,true,
423,249,0,181,16,0,19,16,0,41,16,true,
305,255,1,291,49,0,33,49,0,52,49,true,
276,208,1,284,18,0,25,18,0,29,18,true,
285,237,2,465,48,0,26,48,0,41,48,true,
169,297,1,289,17,0,31,17,0,30,17,true,
141,56,1,322,18,0,18,18,0,24,18,true,
120,301,2,312,17,0,26,17,0,31,17,true,
82,223,1,162,10,0,19,10,0,24,10,true,
